Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
HOLOGIC INC,No,Cenova,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Boehringer Ingelheim RCV GmbH & Co KG,No,,,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Roche Diagnostics GmbH,No,PD - CD Healthcare,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Coloplast Corp,No,CONTINENCE CARE,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Covidien Sales LLC,No,Endo Stapling,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"BioHorizons Implant Systems, Inc.",No,Dental Implants,,Dental Providers|Dentist|Periodontics,disallowed
Ethicon Inc.,No,Adhesion Prevention,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Jazz Pharmaceuticals Inc.,No,,Xyrem,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,disallowed
Brahms GmbH,No,PCT,,,allowed
"Salix Pharmaceuticals, Ltd",No,,Xifaxan 550 mg,Podiatric Medicine & Surgery Service Providers|Podiatrist|Primary Podiatric Medicine,disallowed
BIOVENTUS LLC,No,Diagnostic Ultrasound,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"UCB, Inc.",No,,Vimpat,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Vascular Neurology,disallowed
"Smith & Nephew, Inc.",No,,,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
Volcano Corporation,No,Venus III,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,,,Other Service Providers|Specialist,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ONGLYZA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,disallowed
"Genentech USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
The Spectranetics Corporation,No,TURBOELITE,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Child & Adolescent Psychiatry,disallowed
Thoratec Corporation,No,MCS-Multiple Products-General,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Astellas Pharma US Inc,Yes,,Myrbetriq,Allopathic & Osteopathic Physicians|Urology,disallowed
Amgen Inc.,No,,Sensipar,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
"Takeda Development Center Americas, Inc.",No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Geriatric Psychiatry,disallowed
"FUJIFILM SonoSite, Inc.",No,SONOSITE EDGE ULTRASOUND SYSTEM,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Sanofi Pasteur Inc.,No,,MENACTRA,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
F. Hoffmann-La Roche AG,No,,Tarceva,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,MIRAPEX ER,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Celgene Corporation,No,,Revlimid,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invokana,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
Merck Sharp & Dohme Corporation,No,,SCH 900121--NOMACE2 Nomegestrol acetate  17B Estradiol,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Reproductive Endocrinology,allowed
Amgen Inc.,No,,XGEVA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"LILLY USA, LLC",No,,,Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine,disallowed
SANOFI-AVENTIS U.S. LLC,No,,APIDRA,Allopathic & Osteopathic Physicians|Allergy & Immunology|Clinical & Laboratory Immunology,disallowed
Spectrum Pharmaceuticals Inc.,No,,Belinostat,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Stryker Corporation,No,FLOW DIVERTERS,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,disallowed
Spiracur Inc.,No,SNaP,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"COMSORT, Inc",No,,MK-4305,Behavioral Health & Social Service Providers|Counselor|Mental Health,disallowed
Abbott Laboratories,No,Vascular,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Baxter Healthcare,No,,BioTherapeutics - FLEXBUMIN,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
DePuy Synthes Sales Inc.,No,Vertebral Body Augmentation,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
GENZYME CORPORATION,No,,ALDURAZYME,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
KARLSTORZ Endoscopy-America,No,OTHER MISC,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"LENSAR, Inc.",No,LENSAR LASER SYSTEM,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Genzyme Corporation,No,,TERIFLUNOMIDE,Other Service Providers|Specialist,disallowed
OrthoPediatrics Corp.,No,Cannulated Screw,Cannulated Screw,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Pediatric Orthopaedic Surgery,disallowed
ABIOMED,No,Impella,,Allopathic & Osteopathic Physicians|Internal Medicine|Clinical Cardiac Electrophysiology,disallowed
"Bio-Rad Laboratories, Inc.",No,Case of the day,,Dental Providers|Dentist|General Practice,disallowed
Implant Direct International LLC,No,Dental Implant,,Allopathic & Osteopathic Physicians|Pathology|Clinical Pathology/Laboratory Medicine,disallowed
"Salix Pharmaceuticals, Ltd",No,,FULYZAQ,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
"Varian Medical Systems, Inc.",No,ARIA,,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Takeda Development Center Americas, Inc.",No,,Uloric,Allopathic & Osteopathic Physicians|Urology,allowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,AFINITOR,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Abbott Laboratories,No,,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
Hollister Incorporated,No,Endoform,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Sigma-Tau Pharmaceuticals, Inc.",No,,Oncaspar,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Biomet Trauma, LLC",No,SET - TRAUMA,,Allopathic & Osteopathic Physicians|Otolaryngology|Facial Plastic Surgery,disallowed
GENZYME CORPORATION,No,,THYROGEN,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Endocrinology,disallowed
"AbbVie, Inc.",No,,ABT-494,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Covidien LP,No,,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,allowed
DePuy Orthopaedics Inc.,No,Sports Medicine,,Other Service Providers|Specialist,disallowed
Genzyme Corporation,No,,THYROGEN,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Zimmer Holding Inc,No,Knee,Chondrofix,Other Service Providers|Specialist,disallowed
Lundbeck LLC,No,,ABILIFY DEPOT,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
"Alexion Pharmaceuticals, Inc.",No,,SOLIRIS,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,SAMSCA,Emergency Medical Service Providers|Personal Emergency Response Attendant,disallowed
Reckitt Benckiser Pharmaceuticals Inc.,No,,SUBOXONE SUBLINGUAL FILM,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"Noven Therapeutics, LLC",No,,DAYTRANA,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Sleep Medicine,disallowed
"Cadence Pharmaceuticals, Inc.",No,,OFIRMEV,Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,disallowed
Astellas Scientific and Medical Affairs,No,,Myrbetriq,Allopathic & Osteopathic Physicians|Urology,disallowed
Amgen Inc.,No,,Sensipar,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
"Siemens Medical Solutions USA, Inc.",No,AX - Angiography Fluoroscopy-Radiology Systems,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
Takeda Pharmaceuticals Puerto Rico LLC,No,,Uloric,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
"Janssen Diagnostics, LLC",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,disallowed
"Janssen Research & Development, LLC",No,,No Product,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
The Medicines Company,No,,CLEVIPREX,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"GlaxoSmithKline, LLC.",No,,BIO ZOSTER,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Astellas Pharma Inc,No,,,Allopathic & Osteopathic Physicians|Urology,disallowed
Novo Nordisk Inc,No,,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Amgen Inc.,No,,Aranesp,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"RTI Surgical, Inc.",No,Scope,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"Ipsen Biopharmaceuticals, Inc",No,,Somatuline Depot 120mg.5ml,Other Service Providers|Specialist,disallowed
Phadia US Inc.,No,SDG-IDD-Allergy,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
Boehringer Ingelheim Pharma GmbH & Co.KG,No,,Spiriva,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
SANOFI-AVENTIS U.S. LLC,No,Osteoarthritis of the Knee,,"Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine, Sports Medicine",disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
Baxter Healthcare,No,,BioTherapeutics - ARALAST,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
Specialty Surgical Instrumentation,No,ElbowLOC system,,,disallowed
OrthoPediatrics Corp.,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
Cook Incorporated,No,PI - Wire Guides,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
STAAR SURGICAL COMPANY,No,IOL,IOL,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Pfizer Inc.,No,,XELJANZ,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Merck Sharp & Dohme Corporation,No,,SCH 420814--Preladenant,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,allowed
"Genentech USA, Inc.",No,,Rituxan,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
Spiracur Inc.,No,SNaP,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
CSL Behring,No,,Humate P,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecology,disallowed
Bayer HealthCare LLC,No,Jetstream,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Neuroimaging,disallowed
Covidien Sales LLC,No,Biologic Mesh,,Allopathic & Osteopathic Physicians|Surgery|Plastic and Reconstructive Surgery,disallowed
"Medtronic Vascular, Inc.",No,Heart Valves,,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"Smith & Nephew, Inc.",No,,Santyl,Other Service Providers|Legal Medicine,disallowed
Alcon Laboratories Inc,No,,,Eye and Vision Services Providers|Technician/Technologist|Optician,disallowed
"Salix Pharmaceuticals, Ltd",No,,Xifaxan 550 mg,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Clinical Neurophysiology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Nucynta,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
"Smith & Nephew, Inc.",No,GYN,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Volcano Corporation,No,Prod. Category  IVUS Imaging,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
3M Company,No,Dental Etchants,Clinpro 5000 Toothpaste-Vanilla Mint,Dental Providers|Dentist,disallowed
Exelixis Inc.,No,,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,disallowed
"Varian Medical Systems, Inc.",No,ARIA,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
ELI LILLY EXPORT S.A. PUERTO RICO BRANCH,No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
DePuy Synthes Sales Inc.,No,Thoracolumbar,,Allopathic & Osteopathic Physicians|Pediatrics|Developmental  Behavioral Pediatrics,disallowed
"Entellus Medical, Inc.",No,XprESS Multi-Sinus Dilation Tool,,,allowed
Sanofi Pasteur Inc.,No,,FLUZONE HIGH DOSE,Pharmacy Service Providers|Pharmacist,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,COPAXONE,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"AbbVie, Inc.",No,,Androgel,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"AbbVie, Inc.",No,,Lupron,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,AUVIQ,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"EMPI, INC.",No,Osteogenesis Stimulators,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,disallowed
"EMD Serono, Inc.",No,,,"Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Pediatrics, Critical Care",disallowed
Zyga Technology Inc,No,SImmetry Sacroliac Joint Fusion System,,Other Service Providers|Specialist,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,YERVOY,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ERBITUX,Chiropractic Providers|Chiropractor,disallowed
Novocure Inc.,No,NovoTTF-100A,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
Astellas Pharma US Inc,No,,MYCAMINE,Dental Providers|Dentist|Pediatric Dentistry,disallowed
"Iroko Pharmaceuticals, LLC",No,,Zorvolex 35mg,Allopathic & Osteopathic Physicians|Pain Medicine|Interventional Pain Medicine,disallowed
"Great Lakes Medical Services, LLC",No,IceEdge-Rod Sphere Cryoablation Needles,,Allopathic & Osteopathic Physicians|Radiology|Radiation Oncology,disallowed
Team_Makena_LLC,No,non-covered product,,"Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine, Sports Medicine",disallowed
Cubist Pharmaceuticals Inc,No,,Anti-Bacterial,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
Synergy Medical Systems LLC,No,non-covered product,,Allopathic & Osteopathic Physicians|Emergency Medicine|Sports Medicine,disallowed
"Medtronic USA, Inc.",No,Spinal Cord Neurostimulation - ST,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
"Advanced Orthopaedic Solutions, Inc.",No,AOS Humeral Nail,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
Illinois Cryotherapy LP,No,Cryo Probe,,Allopathic & Osteopathic Physicians|Urology,disallowed
Mallinckrodt LLC,No,,Pennsaid Topical Solution,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pediatric Rehabilitation Medicine,disallowed
Edwards Lifesciences Corporation,No,Pressure Monitoring,,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
DePuy Orthopaedics Inc.,No,CMF,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
SHIONOGI INC,No,,Osphena,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"BIOMET 3I, LLC",No,3I - TISSUE PRODUCTS,,Dental Providers|Dentist|Periodontics,disallowed
Teleflex Medical Incorporated,No,SURGICAL,,Other Service Providers|Specialist,disallowed
Stereotaxis Inc,No,Niobe,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Cardiology,disallowed
"FUJIFILM Medical Systems USA, Inc.",No,Synapse,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Abbott Laboratories,No,Diagnostics,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Astellas Pharma US Inc,No,,Lexiscan,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"Genentech USA, Inc.",No,,Activase,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Henry Schein, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"Becton, Dickinson and Company",No,Medical Surgical Systems,,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
Covidien Sales LLC,No,Biologic Mesh,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Hand Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Behavioral Health & Social Service Providers|Psychologist|Clinical,disallowed
"Genentech USA, Inc.",No,,Pegasys,,disallowed
"Toshiba America Medical Systems, Inc.",No,Multiple,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Boston Scientific Corporation,No,BILIARY DEVICES,,Allopathic & Osteopathic Physicians|Anesthesiology|Pediatric Anesthesiology,disallowed
PFIZER INC.,No,,ELIQUIS,Allopathic & Osteopathic Physicians|Anesthesiology|Critical Care Medicine,disallowed
"Henry Schein, Inc.",No,Specialty Products  Orthodontics Non-Camlog Implants,,Dental Providers|Dentist,disallowed
Novartis Pharmaceuticals Corporation,No,,EXFORGE,Allopathic & Osteopathic Physicians|Family Medicine|Addiction Medicine,disallowed
Bayer HealthCare Pharmaceuticals Inc.,No,Essure,Mirena,Dental Providers|Dentist,disallowed
"Genentech, Inc.",No,,Non-Covered Product,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
"Medtronic Vascular, Inc.",No,Implantable Cardioverter Defibrillators - ICDs,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Philips Electronics North America Corporation,No,Advanced Molecular Imaging,,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
"PureLife, LLC",No,,,Dental Providers|Dentist|General Practice,disallowed
Baxter Healthcare,No,,BioSurgery - TISSEEL,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
Stryker Corporation,No,HIPS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,allowed
Warner Chilcott LLC,No,,DORYX,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Stryker Corporation,No,STRYKER PERFORMANCE SOLUTIONS,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery,disallowed
Welch Allyn,No,Cardiopulmonary,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,GRANIX,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
"Grifols USA, LLC",No,,Gamunex-C,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
3M Company,No,Dental Optical Impression CAD-CAM System,,Dental Providers|Dentist|General Practice,disallowed
